Name,LAT,LONG,Distance to UNC (Davis),Time (Drive),Type,Social,BRs,BAs,Monthly Rent,Style
Crosstown,35.90892,-78.98312,4.5mi,9min,Apt,2,1-2,1-2,1422,
Trinity at the Hill,35.89475,-79.08498,3.3 mi,10 min,Apt,2,2,2,1398,
Stratford on MLK,35.92899,-79.05551,1.6mi,6min,Apt,2,2-1,1-2,1352,
Stratford Hills,35.92547,-79.05023,1.1mi,5min,Apt,2,2,1-2,1098,
Royal Park,35.90274,-79.07549,3.4 mi,8 min,Apt,2,1-2,1,1248,
Pinegate,35.948025,-79.00964,4.6 mi,11 min,Apt,2,2,2,1296,
South Square Townhomes,35.96269,-78.957111,8.1 mi,14 min,House,2,3,1.5,1303,
Chapel Ridge,35.94698,-79.06046,2.9 mi,8 min,Apt,2,2-4,2-4,2175,
Shadowood Apts: The Magnolia,35.94698,-79.06046,2.9 mi,8 min,Apt,2,2,2,1308,
Kingswood,35.90248,-79.06411,3mi,7min,Apt,2,2,1,1163,
Alderman,35.9149,-79.04816,1 mi,,,2,,,,corridor
Avery,35.9065,-79.04425,1 mi,,,,,,,suite
Carmichael,35.90863,-79.04582,1 mi,,,4,,,,suite
Connor,35.91111,-79.04617,1 mi,,,3,,,,corridor
Craige North,35.90379,-79.04604,1 mi,,,3,,,,suite
Hardin,35.90417,-79.0461,1 mi,,,2,,,,suite
Horton,35.90351,-79.04412,1 mi,,,4,,,,suite
Joyner,35.91268,-79.04658,1 mi,,,3,,,,corridor
Kenan,35.91471,-79.04743,1 mi,,,2,,,,corridor
McIver,35.91423619,-79.04788676,1 mi,,,2,,,,corridor
Morrison,35.90464167,-79.04618652,1 mi,,,4,,,,suite
Old East,35.91247771,-79.05065187,1 mi,,,2,,,,corridor
Old West,35.91209545,-79.05172586,1 mi,,,2,,,,corridor
Parker,35.90723797,-79.04430109,1 mi,,,3,,,,suite
Ram Village 1,35.9023641,-79.04556226,1 mi,,,3,,,,apartment
Ram Village 2,35.90217201,-79.04699155,1 mi,,,2,,,,apartment
Ram Village 3,35.90276816,-79.04593954,1 mi,,,2,,,,apartment
Ram Village 4,35.90168511,-79.04375685,1 mi,,,2,,,,apartment
Ram Village 5,35.90186761,-79.04217969,1 mi,,,3,,,,apartment
Spencer,35.91505426,-79.04932027,1 mi,,,1,,,,corridor
Teague,35.90789761,-79.04500776,1 mi,,,2,,,,suite
Winston,35.91045771,-79.04614086,1 mi,,,4,,,,corridor